"","seriesId","seriesTitle","seriesAvgRating","totalVotes","avgVotes","numSeasons","avgRuntime","seriesStartYear","seriesStartDecade","lengthYears","genres","baseGenre"
"170","tt3205802","How to Get Away with Murder",8.31,160329,1781,6,42.8,"2014","2010s",6,"Crime,Drama,Mystery","Crime"
"171","tt9612516","Space Force",6.97,29921,1760,2,30.4,"2020","2020s",2,"Comedy","Comedy"
"172","tt2674806","Inside No. 9",7.6,96665,1758,9,29.3,"2014","2010s",10,"Comedy,Crime,Drama","Comedy"
"173","tt1489428","Justified",8.36,136783,1754,6,42.5,"2010","2010s",5,"Action,Crime,Drama","Action"
"174","tt2741602","The Blacklist",7.83,382262,1753,10,42.6,"2013","2010s",10,"Crime,Drama,Mystery","Crime"
"175","tt4532368","DC's Legends of Tomorrow",7.87,192480,1750,7,41.9,"2016","2010s",6,"Action,Adventure,Drama","Action"
"176","tt3526078","Schitt's Creek",7.97,139263,1741,6,22.1,"2015","2010s",5,"Comedy","Comedy"
"177","tt1196946","The Mentalist",7.98,260041,1722,7,43.9,"2008","2000s",7,"Crime,Drama,Mystery","Crime"
"178","tt0994314","Code Geass",8.38,84940,1699,2,24,"2006","2000s",2,"Action,Animation,Drama","Action"
"179","tt4604612","The Alienist",7.92,29339,1630,2,47.4,"2018","2010s",2,"Crime,Drama,Mystery","Crime"
"180","tt5511582","Timeless",8.11,43891,1626,2,45.5,"2016","2010s",2,"Action,Adventure,Drama","Action"
"181","tt1843230","Once Upon a Time",7.98,245173,1572,7,43.6,"2011","2010s",7,"Adventure,Fantasy,Romance","Adventure"
"182","tt0312172","Monk",7.95,189635,1529,8,43.5,"2002","2000s",7,"Comedy,Crime,Drama","Comedy"
"183","tt0813715","Heroes",7.63,119245,1529,4,43.7,"2006","2000s",4,"Crime,Drama,Fantasy","Crime"
"184","tt2234222","Orphan Black",8.33,76450,1529,5,43.7,"2013","2010s",4,"Drama,Sci-Fi,Thriller","Thriller"
"185","tt1567432","Teen Wolf",8.44,152430,1524,6,41.6,"2011","2010s",6,"Action,Drama,Fantasy","Action"
"186","tt3007572","Locke & Key",7.33,42554,1520,3,45.9,"2020","2020s",2,"Drama,Fantasy,Horror","Drama"
"187","tt2618986","Wayward Pines",7.55,30350,1518,2,43.5,"2015","2010s",1,"Drama,Horror,Mystery","Horror"
"188","tt4834206","A Series of Unfortunate Events",8.04,37618,1505,3,46.8,"2017","2010s",2,"Adventure,Comedy,Drama","Adventure"
"189","tt2303687","Line of Duty",8.38,54058,1502,6,59.6,"2012","2010s",14,"Crime,Drama,Mystery","Crime"
"190","tt5296406","Designated Survivor",7.39,78505,1481,3,43.7,"2016","2010s",3,"Action,Drama,Mystery","Action"
"191","tt5897304","Mob Psycho 100",8.49,54558,1475,3,24,"2016","2010s",6,"Action,Animation,Comedy","Action"
"192","tt0285331","24",8.32,280426,1461,8,43.5,"2001","2000s",9,"Action,Crime,Drama","Action"
"193","tt8064302","Dead to Me",7.94,43666,1456,3,31.2,"2019","2010s",3,"Comedy,Crime,Drama","Comedy"
"194","tt3061046","Steven Universe",8.17,225377,1454,5,11.4,"2013","2010s",6,"Action,Adventure,Animation","Action"
"195","tt5743796","Warrior",8.42,43350,1445,3,53.7,"2019","2010s",4,"Action,Crime,Drama","Action"
"196","tt5651844","Travelers",8.12,49056,1443,3,45,"2016","2010s",2,"Drama,Mystery,Sci-Fi","Drama"
"197","tt1219024","Castle",8.09,248601,1437,8,43.4,"2009","2000s",7,"Comedy,Crime,Drama","Comedy"
"198","tt0934814","Chuck",8.35,129749,1426,5,43.5,"2007","2000s",5,"Action,Comedy,Drama","Action"
"199","tt7120662","Derry Girls",8.19,27071,1425,3,26.3,"2018","2010s",4,"Comedy","Comedy"
"200","tt10231312","Inside Job",7.86,25629,1424,2,27.4,"2021","2020s",1,"Adventure,Animation,Comedy","Adventure"
"201","tt1327801","Glee",7.92,172133,1423,6,49.1,"2009","2000s",6,"Comedy,Drama,Music","Comedy"
"202","tt7569576","The Flight Attendant",7.36,22574,1411,2,44.9,"2020","2020s",2,"Comedy,Drama,Mystery","Comedy"
"203","tt6226232","Young Sheldon",7.59,197944,1404,7,19.4,"2017","2010s",7,"Comedy","Comedy"
"204","tt1486217","Archer",7.89,199845,1398,14,22.1,"2009","2000s",14,"Action,Animation,Comedy","Action"
"205","tt2701582","Endeavour",8.27,50017,1389,9,90.8,"2012","2010s",11,"Crime,Drama,Mystery","Crime"
"206","tt1636691","Generator Rex",8.66,81651,1384,3,23.7,"2010","2010s",3,"Action,Adventure,Animation","Action"
"207","tt2632424","The Originals",8.59,125510,1364,5,42.7,"2013","2010s",5,"Drama,Fantasy,Horror","Drama"
"208","tt0445114","Extras",8.21,17707,1362,2,34.2,"2005","2000s",2,"Comedy,Drama","Comedy"
"209","tt0285403","Scrubs",7.99,245598,1349,9,23.8,"2001","2000s",9,"Comedy,Drama","Comedy"
"210","tt0279600","Smallville",8.04,292206,1347,10,43,"2001","2000s",16,"Action,Adventure,Drama","Action"
"211","tt0369179","Two and a Half Men",7.29,353024,1347,12,22.1,"2003","2000s",12,"Comedy,Romance","Comedy"
"212","tt1637727","The Killing",8.12,58600,1332,4,46,"2011","2010s",3,"Crime,Drama,Mystery","Crime"
"213","tt2654620","The Strain",7.85,60790,1322,4,45.6,"2014","2010s",3,"Drama,Fantasy,Horror","Drama"
"214","tt0118480","Stargate SG-1",7.73,280242,1316,10,44.3,"1997","1990s",10,"Action,Adventure,Drama","Action"
"215","tt1553656","Under the Dome",6.85,50862,1304,3,42.8,"2013","2010s",2,"Drama,Mystery,Sci-Fi","Drama"
"216","tt7745956","She-Ra and the Princesses of Power",8.32,67432,1297,5,24,"2018","2010s",2,"Action,Adventure,Animation","Action"
"217","tt3921180","Scream: The TV Series",7.25,37505,1293,3,42.7,"2015","2010s",4,"Comedy,Crime,Drama","Comedy"
"218","tt0491738","Psych",8.21,154849,1290,8,44.3,"2006","2000s",8,"Comedy,Crime,Mystery","Comedy"
"219","tt2887954","Tokyo Vice",8.03,23226,1290,2,57.4,"2022","2020s",2,"Crime,Drama,Thriller","Crime"
"220","tt0086661","The Adventures of Sherlock Holmes",8.08,16706,1285,2,52.9,"1984","1980s",1,"Crime,Drama,Mystery","Crime"
"221","tt7456722","Hunters",7.64,23058,1281,2,59.6,"2020","2020s",3,"Crime,Drama,Mystery","Crime"
"222","tt6470478","The Good Doctor",7.85,159755,1268,7,42.7,"2017","2010s",7,"Drama","Drama"
"223","tt1826940","New Girl",7.59,184790,1266,7,21.4,"2011","2010s",7,"Comedy,Romance","Comedy"
"224","tt5420376","Riverdale",6.95,172167,1257,7,42.1,"2017","2010s",6,"Crime,Drama,Mystery","Crime"
"225","tt1220617","The Inbetweeners",8.22,22615,1256,3,24.3,"2008","2000s",2,"Comedy","Comedy"
"226","tt3428912","Happy Valley",8.41,22262,1237,3,58.6,"2014","2010s",9,"Crime,Drama,Thriller","Crime"
"227","tt2384811","Utopia",8.42,14694,1224,2,51.8,"2013","2010s",1,"Drama,Mystery,Sci-Fi","Drama"
